Field=#~Integer~#~50|Field=Comment~String~Comment~319|Field=Description~String~Description~119|Field=Designator~String~Designator~79|Field=Footprint~String~Footprint~79|Field=LibRef~String~LibRef~79|Field=Quantity~Integer~Quantity~79|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Weight_Dropper_Torpedo_1_0.PrjPCB|ReportField=ProjectFullPath~C:\Poorna\OneDrive - University of Victoria\University\Clubs\AUVic\PCB\Weight_Dropper_Torpedo_1.0_PCB\Weight_Dropper_Torpedo_1_0.PrjPCB|ReportField=Title~Bill of Materials For Project [Weight_Dropper_Torpedo_1_0.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~12:54:31 AM|ReportField=ReportDate~2018-06-10|ReportField=ReportDateTime~2018-06-10 12:54:31 AM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~18|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~e88b7621f1489687b0fa4c2282239b92980e9581|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-06-10|ReportField=CurrentTime~12:54:25 AM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Poorna\OneDrive - University of Victoria\University\Clubs\AUVic\PCB\Weight_Dropper_Torpedo_1.0_PCB\Master.SchDoc|ReportField=DocumentName~Master.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-05-26|ReportField=Organization~|ReportField=ProjectName~Weight_Dropper_Torpedo_1_0.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~Weight_Dropper_Torpedo_1_0.PrjPCB|ReportField=DataSourceFullPath~C:\Poorna\OneDrive - University of Victoria\University\Clubs\AUVic\PCB\Weight_Dropper_Torpedo_1.0_PCB\Weight_Dropper_Torpedo_1_0.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|100µF|100µF 35V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C|C1, C2|Radial_CAN_6.6mm|100uF, 35V, 20%, Alum, SMD|2
2|470µF|470µF 25V Aluminum Electrolytic Capacitors Radial, Can - SMD 1000 Hrs @ 105°C|C3|EEE-1HA221P|470uF 25V SMD Aluminum Nichicon|1
3|Header Male 1x4 Right-Angle|1x4, Pads Pitch: 0.1" (2.54mm), Right-angle, Through hole|CN1|Header, Male, 1X4, More solder|Header, Male, 1x4, Right-Angle|1
4|Header to plug into Arduino Board|1x8 Header  x21x10 Header1.6 HeaderPitch: 0.1" (2.54mm), Contact Length 0.394" (10.00mm) Through hole|CN2|DIP32 Arduino Shield|Arduino Shield Heade|1
5|Header for A4988 Driver|Header, Female, 2x8, Pitch: 0.1" (2.54mm),THT|CN3|DIP16|Connector for A4988 Stepper Motor Driver|1
6|TSSA5U50E3GCT-ND|Diode Schottky 50V 5A Surface Mount DO-214AC (SMA)|D1|DO-214AC|TSSA5U50E3GCT-ND|1
7|JD 2A 600V|Junction Diode 2A 600V|D2, D3|DO-214AA|JD 2A 600V|2
8|2A|SMD Fuse, 2A, 63V,|F1|1206 SMD|SMD Fuse, 2A, 63V,|1
9|2x1 Term Block||J1, J2, J3|2X1 Terminal Blocks|2x1 Terminal Block|3
10|1X2 Pin Head||JP1|2X1 Males Header|1x2 Male Header|1
11|1x3 Male Jumper|1x3 Male Jumper|JP2|Header, Male, 1x3, Pitch: 0.1" (2.54mm),THT|1x3 Male Jumper|1
12|220µH|220µH Unshielded Wirewound Inductor 3.5A 96 mOhm Max Radial|L1|Inductor Cylinder - 1422435C|220µH 3.5A Inductor|1
13|12V 3A Buck DC-DC|Buck Switching Regulator IC Positive Fixed 12V 1 Output 3A TO-263-6, D²Pak (5 Leads + Tab), TO-263BA|U1|5-DDPAK|12V 3A Buck DC-DC|1
14|2CH High Side Drive 8A 28V|2 Channel High Side Drive MOSFET controlable by logic signal|U2|SSOP50P600X170_HS-17N|2CH High Side Drive w/ Logic Signal 8A 28V|1
